<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SBER,60,20221129,200000,136.6100000,136.7700000,136.2000000,136.4400000
SBER,60,20221129,210000,136.4400000,136.6200000,136.3600000,136.5000000
SBER,60,20221129,220000,136.4800000,136.6400000,136.3600000,136.4700000
SBER,60,20221129,230000,136.4700000,136.6300000,136.3700000,136.4700000
SBER,60,20221130,000000,136.4700000,136.5000000,136.3600000,136.3700000
SBER,60,20221130,110000,136.5100000,136.7000000,135.6700000,136.0800000
SBER,60,20221130,120000,136.0800000,136.2000000,135.8000000,136.1100000
SBER,60,20221130,130000,136.1200000,136.5000000,136.0000000,136.1800000
SBER,60,20221130,140000,136.1900000,136.2400000,136.0000000,136.0400000
SBER,60,20221130,150000,136.0300000,136.2000000,135.8300000,135.9100000
SBER,60,20221130,160000,135.9100000,135.9500000,135.3400000,135.4000000
SBER,60,20221130,170000,135.3900000,135.6900000,135.3400000,135.5700000
SBER,60,20221130,180000,135.5600000,135.5900000,135.2300000,135.5200000
SBER,60,20221130,190000,135.5100000,135.6500000,135.3900000,135.5100000
SBER,60,20221130,200000,135.5100000,135.9600000,135.4300000,135.7300000
SBER,60,20221130,210000,135.7200000,135.9400000,135.6000000,135.7100000
SBER,60,20221130,220000,135.6900000,135.9500000,135.6400000,135.8900000
SBER,60,20221130,230000,135.8900000,136.4400000,135.8800000,136.3900000
SBER,60,20221201,000000,136.4200000,136.7800000,136.2500000,136.7800000
SBER,60,20221201,110000,137.1100000,137.9500000,137.0700000,137.4300000
SBER,60,20221201,120000,137.4000000,137.4300000,136.8400000,137.1500000
SBER,60,20221201,130000,137.1500000,137.6000000,137.0000000,137.0500000
SBER,60,20221201,140000,137.0300000,137.2200000,136.3500000,136.6800000
SBER,60,20221201,150000,136.6800000,136.9600000,136.4800000,136.6600000
SBER,60,20221201,160000,136.6700000,136.8500000,136.5100000,136.7100000
SBER,60,20221201,170000,136.7100000,136.7200000,136.3100000,136.6000000
SBER,60,20221201,180000,136.5500000,136.8900000,136.5000000,136.8500000
SBER,60,20221201,190000,136.8500000,136.9500000,136.4500000,136.4700000
SBER,60,20221201,200000,136.5200000,136.7200000,136.3200000,136.5000000
SBER,60,20221201,210000,136.4800000,136.5800000,136.3700000,136.4700000
SBER,60,20221201,220000,136.5000000,136.9500000,136.4300000,136.9400000
SBER,60,20221201,230000,136.9500000,137.3000000,136.8800000,137.1400000
SBER,60,20221202,000000,137.1100000,137.2000000,137.0400000,137.1500000
SBER,60,20221202,110000,136.9800000,137.1000000,136.4400000,136.8100000
SBER,60,20221202,120000,136.8100000,137.0900000,136.6000000,136.8800000
SBER,60,20221202,130000,136.8700000,136.8800000,136.5100000,136.6100000
SBER,60,20221202,140000,136.6200000,136.7800000,136.4000000,136.4000000
SBER,60,20221202,150000,136.4000000,136.6000000,136.4000000,136.5000000
SBER,60,20221202,160000,136.4700000,137.0000000,136.4400000,136.9000000
SBER,60,20221202,170000,136.9000000,136.9600000,136.4000000,136.4300000
SBER,60,20221202,180000,136.4300000,136.6300000,136.1700000,136.5100000
SBER,60,20221202,190000,136.5200000,136.6600000,136.4400000,136.5000000
SBER,60,20221202,200000,136.7000000,136.8300000,136.5300000,136.7700000
SBER,60,20221202,210000,136.7700000,136.8000000,136.6500000,136.7300000
SBER,60,20221202,220000,136.7200000,136.7600000,136.5000000,136.6500000
SBER,60,20221202,230000,136.6300000,136.7200000,136.5000000,136.6600000
SBER,60,20221203,000000,136.6800000,136.7500000,136.5200000,136.6600000
SBER,60,20221205,110000,136.6600000,141.8300000,136.2500000,141.2400000
SBER,60,20221205,120000,141.2500000,141.6000000,140.2100000,140.4100000
SBER,60,20221205,130000,140.4100000,140.8700000,140.4000000,140.8000000
SBER,60,20221205,140000,140.7700000,141.7300000,140.7100000,140.9600000
SBER,60,20221205,150000,140.9600000,141.6700000,140.8400000,141.2300000
SBER,60,20221205,160000,141.2600000,141.4800000,141.1100000,141.2500000
SBER,60,20221205,170000,141.2500000,141.3200000,140.8000000,140.9100000
SBER,60,20221205,180000,140.9000000,141.5000000,140.8500000,141.4700000
SBER,60,20221205,190000,141.4600000,142.3600000,141.3500000,142.0500000
SBER,60,20221205,200000,142.3000000,142.6800000,142.0500000,142.0600000
SBER,60,20221205,210000,142.0600000,142.0900000,141.8200000,141.9100000
SBER,60,20221205,220000,141.9400000,142.2100000,141.9000000,142.0400000
SBER,60,20221205,230000,142.0000000,142.1000000,141.7600000,141.8800000
SBER,60,20221206,000000,141.8800000,142.1400000,141.8200000,142.0000000
SBER,60,20221206,110000,142.2000000,143.3700000,140.5500000,141.2200000
SBER,60,20221206,120000,141.2000000,141.6200000,140.8000000,141.0000000
SBER,60,20221206,130000,141.0100000,141.4500000,140.9000000,141.2000000
SBER,60,20221206,140000,141.2000000,141.2000000,140.6500000,140.7800000
SBER,60,20221206,150000,140.7800000,141.3100000,140.7000000,141.1600000
SBER,60,20221206,160000,141.1300000,141.6500000,141.0300000,141.0800000
SBER,60,20221206,170000,141.0800000,141.4500000,141.0600000,141.3300000
SBER,60,20221206,180000,141.3200000,141.8000000,141.1700000,141.7400000
SBER,60,20221206,190000,141.7400000,141.8600000,141.2600000,141.6000000
SBER,60,20221206,200000,141.5300000,141.5500000,141.2800000,141.5000000
SBER,60,20221206,210000,141.4600000,141.5400000,140.9000000,141.2000000
SBER,60,20221206,220000,141.2000000,141.2000000,139.1100000,140.4500000
SBER,60,20221206,230000,140.4500000,140.7400000,140.4100000,140.4700000
SBER,60,20221207,000000,140.4700000,140.7000000,140.4200000,140.6100000
